seed,mse,equacao
507,59854.14784873097,"root(div(add(sin(X4), sub(cos(X1), mul(X2, X4))), sqrt(sig(mul(X3, 1.586)))), mul(sub(sub(cos(X4), add(1.000, X3)), X4), add(X0, X0)), div(X4, log(div(X4, X1))))"
611,6.765206193811573e-28,"root(sub(mul(mul(1.000, mul(1.000, X3)), mul(mul(X2, X4), mul(X1, X0))), X0), X0)"
582,105243.1255466412,"root(add(X2, mul(sub(log(X1), X3), X3)), add(X0, div(mul(add(X1, X3), X3), add(mul(1.032, X4), X1))), mul(div(1.000, mul(sig(X3), sub(X2, X3))), X4))"
758,2.540750786005977e-13,"root(X2, sub(sub(X0, X0), X2), add(mul(mul(X1, add(-0.000, X0)), mul(X3, mul(X4, X2))), sub(X0, X0)))"
263,2.757376566112581e-13,"root(mul(add(mul(mul(X1, X0), X2), mul(sub(X3, X3), X4)), mul(X3, sub(X4, -0.000))), log(sqrt(sub(log(X0), log(X0)))), sin(sqrt(sub(log(X3), log(X3)))))"
795,5.5200255479596566e-17,"root(add(mul(mul(mul(X2, X1), mul(X3, X4)), X0), sin(cos(1.571))))"
178,2.4761754365066912e-12,"root(mul(mul(X2, mul(X4, mul(X3, 1.000))), mul(X1, X0)), -1.000, 1.000)"
550,99566.11242993792,"root(div(sub(mul(add(X4, X3), log(X0)), sig(X2)), sqrt(sig(add(X3, X2)))), X1, mul(add(div(mul(X0, -4.800), add(X0, X1)), sub(sqrt(X0), mul(X3, X1))), X4))"
945,60873.25871903553,"root(add(div(X0, sub(X1, sub(X4, 0.992))), sin(sub(sqrt(X4), X0))), sub(X1, mul(mul(add(X2, X3), mul(X3, X4)), X2)), mul(X1, X3))"
926,6.6803517917414e-08,"root(mul(mul(mul(cos(X0), div(1.000, 66315.884)), add(div(X4, X2), cos(X0))), sqrt(X1)), mul(sub(mul(X0, X1), log(1.000)), mul(mul(1.000, mul(X4, X3)), X2)))"
615,42963.26308151239,"root(X4, div(log(sig(sig(X3))), sub(div(div(X2, X3), mul(X0, X3)), sub(sig(X2), log(0.999)))), div(sub(sub(mul(X3, X2), X2), X3), sub(X0, X1)))"
879,68784.30226593635,"root(add(div(sub(mul(X3, X0), sin(X1)), sub(mul(1.238, X4), X3)), sub(div(X4, sin(X0)), sqrt(X1))), mul(mul(X2, X3), add(X4, sub(X4, mul(X4, X2)))), sub(mul(X3, mul(mul(X0, 1.000), X1)), div(X1, div(1.000, sub(X1, X3)))))"
529,59543.79191156599,"root(mul(mul(mul(mul(X3, X2), X4), add(X3, X2)), add(-0.571, cos(X0))), X0, add(sub(X1, add(mul(X0, X0), mul(X2, X1))), div(mul(sig(X1), X0), cos(sin(X0)))))"
523,8.940312483138888,"root(div(add(sub(mul(1.000, X3), X3), X4), div(div(div(1.000, X3), X1), mul(X2, mul(1.000, X0)))), sin(log(sin(cos(1.000)))), cos(sqrt(sqrt(X1))), sin(sig(cos(sqrt(X0)))))"
122,47287.10230308501,"root(add(div(X0, add(sub(X4, X0), 0.215)), mul(sub(sin(X3), mul(X0, X3)), mul(X1, sub(X2, 1.000)))))"
673,34382.725036330135,"root(X0, mul(mul(X0, X3), mul(sin(div(X4, X2)), add(X1, X1))), div(cos(X2), sig(mul(mul(X2, -0.230), add(X4, X3)))))"
146,26.520238046251297,"root(mul(cos(X2), mul(div(mul(X3, X0), cos(X2)), mul(mul(X4, X2), mul(1.000, X1)))), -1.000, 1.000)"
216,4.703284452163741e-14,"root(mul(mul(sub(sub(X4, X4), mul(X1, X2)), mul(-1.000, X4)), mul(X3, X0)), sub(X3, X3), sub(X3, X3))"
809,77521.15848574495,"root(div(log(sin(mul(X0, X2))), sig(X3)), add(div(X0, sub(log(X0), sqrt(X3))), div(div(log(X1), add(X1, X4)), 0.036)), mul(X0, add(add(div(X1, X1), log(1.000)), add(sqrt(X0), mul(X4, X2)))))"
247,2.250732535995348e-12,"root(mul(add(X4, mul(-0.000, X4)), mul(mul(mul(X1, X0), X2), X3)), log(div(X3, X3)))"
691,5.606560581756394e-17,"root(mul(X1, mul(X4, mul(mul(X2, X3), X0))), -0.000)"
801,1.0535194920446905e-17,"root(mul(mul(mul(X0, mul(X1, X2)), X4), X3), div(X2, X2), -1.000)"
192,5.524165666179748e-17,"root(mul(X2, mul(X3, mul(X4, mul(X0, X1)))), X2, sub(sin(cos(1.571)), X2))"
